UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO_ELECCION;MESA_DE_VOTACION;DESCRIP_ESTADO_ACTA;TIPO_OBSERVACION;N_CVAS;N_ELEC_HABIL;VOTOS_P1;VOTOS_P2;VOTOS_P3;VOTOS_P4;VOTOS_P5;VOTOS_P6;VOTOS_P7;VOTOS_P8;VOTOS_P9;VOTOS_P10;VOTOS_P11;VOTOS_P12;VOTOS_P13;VOTOS_P14;VOTOS_P15;VOTOS_P16;VOTOS_P17;VOTOS_P18;VOTOS_P19;VOTOS_P20;VOTOS_VB;VOTOS_VN;VOTOS_VI
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;1;CONTABILIZADAS NORMALES;;119;136;1;1;6;31;0;2;0;0;30;0;0;0;8;0;0;0;28;0;0;0;8;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;2;CONTABILIZADAS NORMALES;;134;150;0;5;3;42;1;1;0;0;27;0;0;1;5;1;0;0;30;0;0;0;18;0;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;3;CONTABILIZADAS NORMALES;;123;131;0;3;7;30;0;1;0;0;21;1;0;0;9;1;0;0;35;0;0;0;13;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;4;CONTABILIZADAS NORMALES;;115;129;0;1;7;20;1;1;0;0;28;0;0;0;10;0;1;0;24;0;0;0;14;8;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;5;CONTABILIZADAS NORMALES;;115;129;0;6;5;26;0;3;0;1;23;1;0;0;10;0;0;0;25;0;0;0;15;0;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;6;CONTABILIZADAS NORMALES;;128;141;0;5;9;30;1;0;1;0;21;0;0;1;6;0;0;0;25;0;0;0;25;4;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;7;CONTABILIZADAS NORMALES;;113;129;0;4;4;32;1;1;1;0;16;0;1;0;8;2;0;0;26;0;0;0;12;5;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;8;CONTABILIZADAS NORMALES;;114;128;1;3;5;30;0;1;0;0;19;0;1;1;4;0;0;0;31;0;0;0;16;2;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;9;CONTABILIZADAS NORMALES;;121;139;0;1;3;35;0;0;0;1;17;0;1;0;10;0;0;0;27;0;0;0;20;6;0
250101;UCAYALI;CORONEL PORTILLO;CALLERIA;PRESIDENCIAL;10;CONTABILIZADAS NORMALES;;135;145;1;2;10;32;2;3;0;0;32;0;1;0;13;0;0;0;26;0;0;0;9;4;0
